imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, odom_x, odom_y, stamp, 
-0.007831931114196777, 0.002850830554962158, -0.005218393125978119, 5.6575194259196965e-11, -8.682850459198205e-05, -6.515739793636991e-07, 8.682850459198203e-06, 0.0, 6.280329500896187e-08, -7.258749690208788e-08, 1731686125367823905, 
0.008373856544494629, -0.017117202281951904, 0.003278367985903548, 3.172068913701462e-10, -7.972947777978932e-05, -3.978539684484867e-06, 7.930412774425421e-06, 5.038674687634196e-13, 4.186887991863841e-08, -4.8391655127488775e-08, 1731686125415782352, 
-0.020361483097076416, 0.009613871574401855, -0.011350175565313547, 4.38039412037173e-10, -0.00015678925719049867, -2.7938101110138936e-06, 1.563256579874661e-05, 2.3560804459630166e-12, 4.186887991863841e-08, -4.8391655127488775e-08, 1731686125466816151, 
-0.016431748867034912, -0.0031235218048095703, -0.014476154637855936, 1.065343710653777e-09, -0.0005454015446307566, -1.953319936735837e-06, 5.449466719531737e-05, -1.2264376115875561e-11, 4.186887991863841e-08, -4.8391655127488775e-08, 1731686125558033861, 
-0.020927011966705322, 0.0034976601600646973, -0.01843997355304208, 1.7181256985267674e-09, -0.0008269707290277288, -2.0776136787172278e-06, 8.265090242970941e-05, -2.2228858011261215e-11, 4.186887991863841e-08, -4.8391655127488775e-08, 1731686125668827707, 
0.0025867819786071777, -0.009338140487670898, -0.005423715060806343, -3.2007085333876322e-09, -0.0007961558764835487, 4.020203364603024e-06, 7.957135727870007e-05, -2.8594044630069492e-11, 4.186887991863841e-08, -4.8391655127488775e-08, 1731686125769831244, 
-0.006165266036987305, -0.013325989246368408, -0.005867688020166921, -4.253003939179761e-09, -0.0005176723369695691, 8.215629145023776e-06, 5.17176460101959e-05, -1.6549730023767196e-11, 6.280329500896187e-08, -7.258749690208788e-08, 1731686125868397245, 
0.0010769963264465332, -0.020259618759155273, -0.0015663831565600151, -3.4408258704741755e-09, -0.00034773253893372296, 9.895035653048245e-06, 3.470702165794277e-05, -2.387593760684722e-11, 6.280329500896187e-08, -7.258749690208788e-08, 1731686125977747989, 
-0.0009943842887878418, 0.006952524185180664, -0.0012077570029800113, -4.3617668028722744e-10, -0.00018605369646208645, 2.3443591209493138e-06, 1.8546016955113083e-05, -3.042201540497679e-11, 6.280329500896187e-08, -7.258749690208788e-08, 1731686126067831923, 
0.2874174118041992, -0.06891202926635742, 0.17708043659128161, -2.4686088750910155e-06, 0.0030933280595193823, -0.0007980430227871043, -0.00028123860625182983, 7.530257518022429e-10, 1.4127782378636766e-05, 6.446072802646086e-06, 1731686126167896166, 
0.48378896713256836, 0.007014334201812744, 0.36709099531798894, -0.019682382456238705, 0.056904295310265474, -0.34588570772948357, 0.0017281885151055904, -2.446459860374916e-06, 0.00655789952725172, -0.00044501767843030393, 1731686126278911514, 
